feature,coefficient
vasopressor_flag,-5.104560258867652
oliguria_flag,-3.6399039491629748
urine_output_6h,3.2870801927117026
urine_output_sum,-2.9639809406831525
shock_index_mean,-1.4019884609828115
bicarbonate_mean,1.348500648032255
hr_mean,1.2939975803740023
bicarbonate_min,-1.2222867212968231
creatinine_delta,1.2206797576628485
lactate_max,1.2182895176418869
lactate_mean,-0.8602295136181831
sbp_mean,-0.8245849786431947
temp_max,-0.6444015487919341
sodium_min,0.590670528820223
creatinine_min,0.5871973008652092
sodium_max,-0.5483328602257957
hemoglobin_mean,-0.4774491908749481
hemoglobin_min,0.453582697032847
temp_mean,0.37953734385359145
map_mean,-0.37525602969303556
bun_max,-0.3285860948571456
map_below65_hours,-0.3130977269679608
spo2_mean,0.2892785432718863
norepi_dose_max,0.2882271844499803
potassium_max,-0.2752942071718825
potassium_mean,0.26779474566582195
creatinine_max,-0.22710519825875336
map_min,-0.22545374482337688
vasopressor_hours,-0.20702234927877933
rr_mean,-0.18260389761050305
bun_cr_ratio,-0.11597201181452217
rr_max,0.11464841847100785
sbp_min,-0.11262530929755944
spo2_min,-0.06757260259631144
hr_max,-0.015546680396545685
